LEName,WellName,CorpID,ForecastGeneratedFrom,Wedge,LE_Date,Update_Date,Update_User
SoHaFebruaryForecast,Saber 1 H,14319899-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:17.000,Travis Comer
SoHaFebruaryForecast,Saber 1 H B,14319900-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:18.000,Travis Comer
SoHaFebruaryForecast,Utahraptor 1 H,14322612-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:25.000,Travis Comer
SoHaFebruaryForecast,Utahraptor 1 H B,14322613-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:27.000,Travis Comer
SoHaFebruaryForecast,Koala 5 H,14322672-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:12.000,Travis Comer
SoHaFebruaryForecast,Callisto 1 H,14325314-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:33.000,Travis Comer
SoHaFebruaryForecast,Pluto 1 H,14326646-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:14.000,Travis Comer
SoHaFebruaryForecast,Pluto 1 H B,14326647-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:15.000,Travis Comer
SoHaFebruaryForecast,Gasosaurus 1 H,14340136-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:36.000,Travis Comer
SoHaFebruaryForecast,Sugar Glider 1 H B,14340216-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:47.000,Travis Comer
SoHaFebruaryForecast,Sugar Glider 1 H,14340217-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:46.000,Travis Comer
SoHaFebruaryForecast,Rockies 1 H,14354532-002,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:43.000,Travis Comer
SoHaFebruaryForecast,Wallaby 4 H B,14364160-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:06.000,Travis Comer
SoHaFebruaryForecast,Koala 3 H B,14365559-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:38.000,Travis Comer
SoHaFebruaryForecast,Trex 2 H,14365684-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:51.000,Travis Comer
SoHaFebruaryForecast,Trex 2 H B,14365685-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:53.000,Travis Comer
